iter	Logloss	Accuracy
0	0.6839231555	0.797979798
1	0.6746667558	0.803030303
2	0.6664660223	0.803030303
3	0.6586636074	0.8232323232
4	0.6508739562	0.8198653199
5	0.6420561801	0.8232323232
6	0.6337790014	0.8249158249
7	0.6259969519	0.8249158249
8	0.6195352078	0.8249158249
9	0.6128062645	0.8232323232
10	0.6063263282	0.8232323232
11	0.5999736281	0.8249158249
12	0.59349916	0.8249158249
13	0.5869637072	0.8249158249
14	0.5813665692	0.8249158249
15	0.5758932474	0.8249158249
16	0.5713146582	0.8282828283117	0.5662520313	0.8282828283118	0.5612508665	0.8282828283119	0.5551476975	0.82996633
20	0.5502895501	0.82996633
21	0.5451378553	0.8282828283
22	0.5398293689	0.8282828283
23	0.5356207037	0.8265993266
24	0.5317055662	0.8265993266
25	0.5276651811	0.8265993266
26	0.524409888	0.8282828283
27	0.5206106614	0.8249158249
28	0.5173644516	0.8249158249
29	0.5126290634	0.8282828283330	0.509098692	0.82996633
31	0.505292071	0.82996633
32	0.5017539708	0.8282828283
33	0.4991150258	0.8282828283
34	0.4957209081	0.8282828283
35	0.4927020198	0.8265993266
36	0.489220631	0.8249158249
37	0.4864556076	0.8249158249
38	0.4850022552	0.8249158249
39	0.4816519136	0.8265993266
40	0.4793240486	0.8265993266
41	0.4771264062	0.8265993266
42	0.4741584174	0.8282828283
43	0.4719084575	0.8282828283
44	0.4693113724	0.8282828283
45	0.4673886921	0.8282828283
46	0.464849934	0.8282828283
47	0.4634904125	0.8282828283
48	0.4615080745	0.8265993266
49	0.460031259	0.8265993266
50	0.4586672018	0.8265993266
51	0.4577321253	0.8282828283
52	0.4554703088	0.8282828283
53	0.4543387086	0.8282828283
54	0.4526905856	0.8282828283
55	0.4513383734	0.8265993266
56	0.4505408039	0.8265993266
57	0.4491059682	0.8265993266
58	0.4476866973	0.8265993266
59	0.4457293388	0.8265993266
60	0.4445389588	0.8265993266
61	0.4423964392	0.8265993266
62	0.4408062607	0.8265993266
63	0.4388980916	0.8265993266
64	0.4377391875	0.8265993266
65	0.4369486578	0.8265993266
66	0.4360272888	0.8265993266
67	0.4352130484	0.8265993266
68	0.4340045978	0.8265993266
69	0.4331287797	0.8265993266
70	0.4321005555	0.8265993266
71	0.4312383645	0.8265993266
72	0.4307234676	0.8265993266
73	0.4291133793	0.8265993266
74	0.4275808074	0.8265993266
75	0.4270588809	0.8265993266
76	0.4267442878	0.8265993266
77	0.4260881664	0.8265993266
78	0.4243968558	0.8265993266
79	0.4235937941	0.8265993266
80	0.4226692064	0.8265993266
81	0.4218995484	0.8265993266
82	0.420834441	0.8265993266
83	0.4201413831	0.8265993266
84	0.4195107479	0.8265993266
85	0.4185778402	0.8282828283
86	0.417150468	0.8282828283
87	0.4165632978	0.8282828283
88	0.4154824036	0.8282828283
89	0.4150380924	0.8282828283
90	0.4140363978	0.8282828283
91	0.4128700604	0.8265993266
92	0.4122959867	0.8282828283
93	0.4112991469	0.8265993266
94	0.4109177486	0.8282828283
95	0.4104016542	0.8282828283
96	0.4093094434	0.8282828283
97	0.4078932811	0.8265993266
98	0.4070716226	0.8265993266
99	0.4064401259	0.8265993266
100	0.4056611486	0.8282828283
101	0.4054167289	0.8282828283
102	0.4043908311	0.8282828283
103	0.4040751363	0.8282828283
104	0.4038563429	0.8282828283
105	0.4032565153	0.8316498316
106	0.4019043588	0.8282828283
107	0.4012865982	0.8316498316
108	0.4010845133	0.8282828283
109	0.4008884431	0.8282828283
