iter	Passed	Remaining
0	415	415575
1	606	302582
2	922	306723
3	1099	273721
4	1232	245296
5	1366	226420
6	1423	201907
7	1510	187253
8	1564	172254
9	1718	170131
10	1831	164645
11	1905	156871
12	1977	150163
13	2117	149160
14	2234	146757
15	2362	145298
16	2428	140413
17	2685	146502
18	2806	144909
19	2851	139706
20	2971	138507
21	3035	134931
22	3101	131748
23	3229	131315
24	3313	129228
25	3379	126609
26	3457	124614
27	3519	122182
28	3592	120282
29	3642	117775
30	3733	116702
31	3802	115039
32	3870	113407
33	3930	111675
34	3987	109944
35	4090	109521
36	4155	108145
37	4220	106839
38	4273	105295
39	4337	104094
40	4396	102845
41	4454	101603
42	5438	121031
43	5837	126832
44	5918	125607
45	6028	125029
46	6143	124563
47	6315	125248
48	6518	126503
49	6607	125540
50	6742	125468
51	6949	126687
52	7041	125822
53	7138	125048
54	7257	124695
55	7326	123507
56	7403	122479
57	7487	121606
58	7586	120992
59	7695	120568
60	7780	119763
61	7842	118646
62	7902	117537
63	7957	116373
64	8049	115788
65	8105	114702
66	8171	113785
67	8232	112829
68	8292	111889
69	8360	111069
70	8468	110807
71	8833	113849
72	8910	113151
73	8989	112492
74	9059	111730
75	9129	110998
76	9225	110584
77	9296	109887
78	9357	109096
79	9436	108517
80	9585	108751
81	9700	108602
82	9782	108076
83	9850	107412
84	9921	106807
85	10056	106876
86	10130	106307
87	10241	106142
88	10505	107538
89	10664	107827
90	10977	109653
91	11072	109283
92	11161	108858
93	11272	108650
94	11404	108647
95	11720	110368
96	11935	111107
97	12087	111251
98	12273	111699
99	12419	111771
100	12588	112048
101	12757	112318
102	12958	112853
103	13127	113098
104	13435	114521
105	14113	119033
106	14385	120061
107	14664	121114
108	15083	123293
109	15383	124466
110	15510	124224
111	15647	124058
112	15783	123892
113	15869	123335
114	16100	123901
115	16314	124330
116	16522	124692
117	16667	124584
118	16813	124479
119	17413	127695
120	17599	127853
121	17817	128225
122	18075	128881
123	18171	128375
124	18296	128073
125	18500	128328
126	18800	129235
127	18873	128572
128	18932	127830
129	19009	127216
130	19094	126663
131	19176	126099
132	19285	125721
133	19375	125218
134	19457	124669
135	19568	124315
136	19619	123586
137	19678	122920
138	19751	122347
139	19815	121725
140	19879	121108
141	19955	120574
142	20027	120025
143	20086	119402
144	20145	118790
145	20304	118766
146	20416	118473
147	20555	118330
148	20636	117866
149	20702	117312
150	20813	117024
151	20942	116837
152	21163	117158
153	21258	116785
154	21369	116497
155	21488	116257
156	21547	115697
157	21599	115106
158	22600	119539
159	22726	119311
160	22801	118825
161	22861	118257
162	22922	117704
163	22991	117200
164	23104	116921
165	23224	116682
166	23297	116209
167	23343	115604
168	23417	115145
169	23485	114664
170	23539	114120
171	23752	114341
172	23809	113815
173	23860	113269
174	23942	112870
175	24060	112648
176	24192	112490
177	24450	112910
178	24535	112535
179	24620	112160
180	24698	111755
181	24762	111294
182	24846	110924
183	25142	111503
184	25490	112295
185	25645	112234
186	25921	112695
187	26084	112663
188	26217	112498
189	26388	112496
190	26953	114166
191	27246	114661
192	27809	116281
193	28394	117968
194	29614	122255
195	29770	122119
196	29952	122091
197	30096	121906
198	30174	121456
199	30239	120958
200	30322	120536
201	30455	120314
202	30517	119816
203	30648	119587
204	30697	119046
205	30756	118546
206	30842	118156
207	30979	117961
208	31150	117896
209	31301	117753
210	31402	117424
211	31436	116848
212	31486	116337
213	31544	115858
214	31650	115562
215	31730	115169
216	31789	114707
217	31890	114395
218	31951	113946
219	32009	113488
220	32175	113415
221	32354	113387
222	32404	112907
223	32494	112571
224	32711	112671
225	32766	112219
226	32827	111787
227	32917	111457
228	32985	111055
229	33027	110570
230	33109	110222
231	33245	110054
232	33356	109805
233	33436	109455
234	33581	109317
235	33719	109161
236	33819	108878
237	33977	108786
238	34043	108397
239	34079	107919
240	34126	107478
241	34208	107147
242	34259	106726
243	34305	106290
244	34350	105854
245	34404	105449
246	34456	105043
247	34503	104623
248	34554	104218
249	34598	103795
250	34642	103376
251	34762	103183
252	34815	102794
253	34859	102384
254	34924	102033
255	34983	101671
256	35039	101300
257	35089	100916
258	35145	100552
259	35273	100393
260	35331	100039
261	35380	99660
262	35422	99264
263	35503	98979
264	35560	98629
265	35609	98260
266	35642	97849
267	35691	97486
268	35847	97414
269	35988	97301
270	36036	96939
271	36090	96595
272	36145	96255
273	36193	95900
274	36294	95686
275	36379	95429
276	36423	95069
277	36479	94741
278	36536	94419
279	36579	94062
280	36624	93712
281	36696	93432
282	36764	93145
283	36873	92961
284	36942	92679
285	37004	92382
286	37076	92109
287	37130	91795
288	37197	91514
289	37237	91168
290	37385	91086
291	37494	90912
292	37567	90648
293	37608	90311
294	37658	89998
295	37719	89710
296	37764	89388
297	37808	89066
298	37988	89062
299	38048	88780
300	38107	88496
301	38164	88208
302	38228	87937
303	38305	87700
304	38418	87543
305	38460	87226
306	38527	86968
307	38630	86793
308	38714	86575
309	38760	86274
310	38853	86078
311	38975	85945
312	39044	85699
313	39090	85401
314	39137	85108
315	39199	84850
316	39249	84566
317	39373	84441
318	39504	84333
319	39566	84078
320	39688	83950
321	39738	83673
322	39784	83388
323	39830	83102
324	39873	82815
325	39920	82534
326	40026	82377
327	40081	82118
328	40133	81852
329	40193	81604
330	40247	81346
331	40297	81081
332	40360	80842
333	40641	81039
334	40735	80862
335	40792	80613
336	40853	80373
337	40903	80113
338	40946	79839
339	41040	79667
340	41099	79426
341	41136	79146
342	41178	78875
343	41239	78643
344	41301	78412
345	41356	78171
346	41419	77944
347	41561	77867
348	41620	77635
349	41666	77381
350	41713	77128
351	41765	76887
352	41832	76673
353	41893	76450
354	41955	76228
355	42012	75999
356	42120	75864
357	42173	75630
358	42241	75422
359	42345	75280
360	42437	75117
361	42494	74893
362	42616	74783
363	42664	74545
364	42720	74322
365	42774	74095
366	42840	73891
367	42897	73671
368	42949	73444
369	43033	73273
370	43201	73244
371	43310	73115
372	43409	72970
373	43466	72754
374	43523	72538
375	43820	72723
376	43934	72602
377	43976	72363
378	44026	72138
379	44078	71917
380	44133	71703
381	44174	71464
382	44286	71343
383	44336	71122
384	44389	70907
385	44468	70735
386	44569	70597
387	44624	70387
388	44710	70226
389	44842	70138
390	44906	69943
391	44997	69792
392	45055	69589
393	45131	69414
394	45165	69178
395	45277	69060
396	45443	69023
397	45512	68839
398	45584	68661
399	45647	68470
400	45776	68378
401	45850	68204
402	45914	68016
403	45967	67812
404	46026	67619
405	46064	67395
406	46102	67171
407	46171	66993
408	46219	66787
409	46403	66775
410	46527	66678
411	46755	66728
412	46875	66624
413	46949	66454
414	46997	66249
415	47039	66036
416	47072	65811
417	47122	65610
418	47167	65403
419	47238	65234
420	47276	65019
421	47330	64827
422	47436	64706
423	47514	64547
424	47564	64352
425	47619	64163
426	47745	64070
427	47865	63969
428	48000	63888
429	48088	63745
430	48152	63570
431	48214	63393
