iter	Accuracy	Logloss
0	0.8132022472	0.6378156184
1	0.8202247191	0.5950077853
2	0.816011236	0.572809855
3	0.8117977528	0.5425340648
4	0.8047752809	0.5283972463
5	0.8033707865	0.5122005822
6	0.8075842697	0.4984643712
7	0.8075842697	0.4868980069
8	0.8047752809	0.4763806181
9	0.8174157303	0.4733477476
10	0.8132022472	0.4708148195
11	0.8188202247	0.4665176817
12	0.8174157303	0.4620319948
13	0.8174157303	0.4613536341
14	0.8174157303	0.4591104563
15	0.8188202247	0.4533695346
16	0.8174157303	0.4520134501
17	0.8202247191	0.444869266
18	0.8202247191	0.4434010637
19	0.8188202247	0.4423079787
20	0.8188202247	0.4417116016
21	0.8188202247	0.4402919197
22	0.8188202247	0.4394722904
23	0.8216292135	0.4340067701
24	0.8244382022	0.4303329575
25	0.8244382022	0.4255479051
26	0.8230337079	0.4255295589
27	0.8286516854	0.4232972199
28	0.8300561798	0.4230141156
29	0.8300561798	0.4222886873
30	0.8328651685	0.4175885229
31	0.8384831461	0.414992442
32	0.8398876404	0.4138084458
33	0.8356741573	0.4094327084
34	0.8384831461	0.407855672
35	0.8398876404	0.4066886353
36	0.8398876404	0.4052879241
37	0.8412921348	0.4036381416
38	0.8384831461	0.4014026611
39	0.8398876404	0.4002340669
40	0.8398876404	0.3999570059
41	0.8412921348	0.3995976884
42	0.8398876404	0.3980234942
43	0.8398876404	0.3978241482
44	0.8398876404	0.39734932
45	0.8398876404	0.3968409296
46	0.8412921348	0.3952898331
47	0.8426966292	0.3951155436
48	0.8426966292	0.394739964
49	0.8426966292	0.3946170244
50	0.8441011236	0.3925687884
51	0.8426966292	0.3925152407
52	0.8398876404	0.3921496509
53	0.8412921348	0.3917175987
54	0.8412921348	0.3908549492
55	0.8441011236	0.390246929
56	0.8412921348	0.3894320117
57	0.8412921348	0.389256732
58	0.8412921348	0.3891314327
59	0.8426966292	0.3888313992
60	0.8441011236	0.3881674705
61	0.8441011236	0.3877850453
62	0.845505618	0.3876649785
63	0.8426966292	0.3859508124
64	0.8426966292	0.3858729846
65	0.845505618	0.3850396467
66	0.845505618	0.3834197216
67	0.845505618	0.38332456
68	0.845505618	0.3833118994
69	0.845505618	0.383268302
70	0.845505618	0.3827366815
71	0.845505618	0.38162293
72	0.845505618	0.3807510313
73	0.845505618	0.3806913241
74	0.845505618	0.3796222762
75	0.8469101124	0.3788303009
76	0.8483146067	0.37873107
77	0.8469101124	0.3784373296
78	0.8483146067	0.3779650761
79	0.8483146067	0.3766046526
80	0.8497191011	0.3753783144
81	0.8483146067	0.373797811
