iter	Passed	Remaining
0	58	29108
1	118	29559
2	177	29377
3	241	29943
4	305	30215
5	373	30770
6	440	31002
7	524	32260
8	574	31316
9	603	29593
10	642	28582
11	684	27842
12	733	27475
13	765	26562
14	824	26656
15	866	26207
16	895	25449
17	951	25482
18	980	24815
19	999	23979
20	1016	23185
21	1034	22466
22	1055	21894
23	1086	21539
24	1121	21301
25	1167	21286
26	1181	20690
27	1218	20545
28	1239	20136
29	1263	19794
30	1292	19555
31	1327	19412
32	1369	19375
33	1398	19173
34	1413	18784
35	1444	18617
36	1468	18378
37	1488	18098
38	1516	17928
39	1548	17804
40	1596	17872
41	1644	17928
42	1698	18052
43	1720	17827
44	1745	17644
45	1768	17457
46	1919	18503
47	2063	19430
48	2147	19766
49	2198	19784
50	2264	19939
51	2301	19824
52	2368	19979
53	2414	19942
54	2483	20094
55	2522	20000
56	2566	19945
57	2610	19892
58	2632	19675
59	2669	19573
60	2691	19373
61	2750	19431
62	2800	19427
63	2864	19513
64	2959	19806
65	3048	20046
66	3107	20083
67	3179	20196
68	3233	20200
69	3281	20157
70	3348	20235
71	3377	20074
72	3406	19927
73	3429	19743
74	3449	19545
75	3474	19385
76	3494	19198
77	3522	19057
78	3541	18873
79	3569	18740
80	3596	18602
81	3618	18445
82	3651	18343
83	3669	18171
84	3692	18028
85	3725	17934
86	3761	17857
87	3787	17732
88	3827	17676
89	3859	17581
90	3889	17483
91	3923	17400
92	3985	17443
93	4054	17511
94	4087	17427
95	4133	17396
96	4169	17323
97	4203	17243
98	4257	17246
99	4313	17253
100	4364	17241
101	4424	17265
102	4506	17369
103	4580	17439
104	4611	17348
105	4665	17342
106	4710	17301
107	4770	17315
108	4828	17321
109	4886	17325
110	4931	17283
111	4978	17248
112	5075	17382
113	5127	17361
114	5176	17331
115	5216	17269
116	5277	17275
117	5312	17196
118	5350	17129
119	5394	17081
120	5415	16962
121	5469	16947
122	5522	16925
123	5576	16910
124	5636	16909
125	5690	16889
126	5753	16897
127	5793	16837
128	5820	16739
129	5910	16823
130	6020	16958
131	6125	17076
132	6157	16989
133	6226	17006
134	6255	16912
135	6376	17065
136	6410	16986
137	6439	16893
138	6520	16934
139	6572	16900
140	6622	16860
141	6672	16822
142	6736	16816
143	6802	16817
144	6839	16744
145	6899	16728
146	6963	16721
147	7030	16720
148	7079	16677
149	7112	16595
150	7153	16533
151	7187	16454
152	7259	16465
153	7305	16414
154	7350	16360
155	7390	16297
156	7480	16343
157	7563	16372
158	7663	16436
159	7731	16429
160	7796	16416
161	7853	16385
162	7911	16357
163	7960	16309
164	8002	16247
165	8035	16168
166	8071	16094
167	8125	16057
168	8180	16022
169	8229	15974
170	8261	15895
171	8329	15884
172	8359	15800
173	8395	15728
174	8464	15720
175	8503	15653
176	8545	15594
177	8599	15557
178	8633	15482
179	8683	15436
180	8725	15378
181	8782	15344
182	8813	15266
183	8848	15196
184	8915	15180
185	8975	15152
186	9028	15111
187	9074	15060
188	9125	15015
189	9162	14949
190	9206	14893
191	9254	14845
192	9290	14777
193	9325	14709
194	9386	14681
195	9411	14597
196	9439	14517
197	9475	14451
198	9521	14401
199	9541	14312
200	9574	14242
201	9608	14175
202	9642	14107
203	9677	14042
204	9726	13996
205	9759	13928
